id,component_id,name,description,tag,scope,investigate_days,procure_days,repair_days,capex,opex,probability,a,b
64,2,Failure of the core/lamination stacks leading to o,Failure of the core/lamination stacks leading to o,tag 64,parent,0,365,120,2000000,0,triangular,234217,312289
65,2,Failure of windings resulting in a repairable phas,Failure of windings resulting in a repairable phas,tag 65,parent,0,90,21,0,125000,triangular,234217,312289
66,2,Failure of windings resulting in a failure of core,Failure of windings resulting in a failure of core,tag 66,parent,0,365,120,3500000,0,triangular,234217,312289
67,2,Failure of all temperature sensors leading to incr,Failure of all temperature sensors leading to incr,tag 67,parent,0,90,0,0,15000,triangular,6164,8219
68,2,Failure of remaining RTDs that are presently funct,Failure of remaining RTDs that are presently funct,tag 68,parent,0,365,0,3500000,0,triangular,23011,30681
69,2,Failure of Compressor resulting in increased start,Failure of Compressor resulting in increased start,tag 69,parent,0,365,0,0,550000,triangular,147927,197235
70,2,The stabilising air is not critical to the working,The stabilising air is not critical to the working,tag 70,parent,0,90,0,50000,0,triangular,8219,10958
71,2,Failure of Compressor resulting in increased start,Failure of Compressor resulting in increased start,tag 71,parent,0,5,0,0,7500,triangular,63691,84921
72,2,The stabilising air is not critical to the working,The stabilising air is not critical to the working,tag 72,parent,0,5,0,0,7500,triangular,8219,10958
73,2,Failure of any cables/terminations could result in,Failure of any cables/terminations could result in,tag 73,parent,0,90,0,0,130000,triangular,39858,53144
74,2,Failure of switchgear resulting in unavailability ,Failure of switchgear resulting in unavailability ,tag 74,parent,0,365,0,0,225000,triangular,18491,24655
75,2,Failure of fused isolator can result in auxiliary ,Failure of fused isolator can result in auxiliary ,tag 75,parent,0,5,0,0,3000,triangular,39858,53144
76,2,Failure of protection relays could result in suppl,Failure of protection relays could result in suppl,tag 76,parent,0,90,0,0,75000,triangular,11095,14793
77,2,Failure of switchgear resulting in system failure ,Failure of switchgear resulting in system failure ,tag 77,parent,0,90,30,0,75000,triangular,11095,14793
78,2,Failure of breakers could result in supply & redun,Failure of breakers could result in supply & redun,tag 78,parent,0,365,0,3650000,0,triangular,11095,14793
79,2,Failure of protection relays could result in suppl,Failure of protection relays could result in suppl,tag 79,parent,0,365,0,400000,0,triangular,11095,14793
80,2,Failure of switchgear resulting in unavailability ,Failure of switchgear resulting in unavailability ,tag 80,parent,0,90,210,0,75000,triangular,18491,24655
81,2,Failure of obsolete relay leading to requirement f,Failure of obsolete relay leading to requirement f,tag 81,parent,0,90,210,175000,0,triangular,11095,14793
82,2,Failure of obsolete relays incorporated in the con,Failure of obsolete relays incorporated in the con,tag 82,parent,0,365,30,750000,0,triangular,11095,14793
83,2,Failure of transformer requiring replacement,Failure of transformer requiring replacement,tag 83,parent,0,365,365,15000000,0,triangular,82182,109575
84,2,Failure of relay to adequately protect transformer,Failure of relay to adequately protect transformer,tag 84,parent,0,365,365,15000000,0,triangular,58760,78347
85,2,Failure of obsolete relay leading to requirement f,Failure of obsolete relay leading to requirement f,tag 85,parent,0,90,5,0,125000,triangular,58760,78347
86,2,Failure of transformer requiring replacement,Failure of transformer requiring replacement,tag 86,parent,0,90,14,150000,0,triangular,63691,84921
87,2,Failure of cooling water piping leading to bearing,Failure of cooling water piping leading to bearing,tag 87,parent,0,90,5,0,75000,triangular,63691,84921
88,2,Cracking of welds or draft tube sections requiring,Cracking of welds or draft tube sections requiring,tag 88,parent,0,90,0,0,150000,triangular,63691,84921
89,2,Pick up of guide vanes leading to top and/or botto,Pick up of guide vanes leading to top and/or botto,tag 89,parent,0,365,14,0,450000,triangular,63691,84921
90,2,Failure of bushes resulting in high vibration requ,Failure of bushes resulting in high vibration requ,tag 90,parent,0,365,0,0,250000,triangular,10273,13697
91,2,Failure of white metal surface requiring unschedul,Failure of white metal surface requiring unschedul,tag 91,parent,0,90,5,0,175000,triangular,90400,120533
92,2,Cavitation damage resulting in unscheduled/extende,Cavitation damage resulting in unscheduled/extende,tag 92,parent,0,90,0,0,150000,triangular,63691,84921
93,2,Pitting and/or cavitation of runner resulting inir,Pitting and/or cavitation of runner resulting inir,tag 93,parent,0,365,365,40000000,0,triangular,63691,84921
94,2,Failure of cooling water piping requiring unschedu,Failure of cooling water piping requiring unschedu,tag 94,parent,0,5,0,0,7500,triangular,18491,24655
95,2,Failure of cooling water during pump start or SCO ,Failure of cooling water during pump start or SCO ,tag 95,parent,0,90,0,0,30000,triangular,18491,24655
96,2,Cracking of welds or spiral sections requiring out,Cracking of welds or spiral sections requiring out,tag 96,parent,0,90,0,0,150000,triangular,18491,24655
97,2,Corrosion damage leading to unscheduled/extended s,Corrosion damage leading to unscheduled/extended s,tag 97,parent,0,5,0,0,7500,triangular,18491,24655
98,2,Cracking of welds or stay vanes requiring unschedu,Cracking of welds or stay vanes requiring unschedu,tag 98,parent,0,90,0,0,150000,triangular,246544,328725
99,2,Catastrophic shaft failure,Catastrophic shaft failure,tag 99,parent,0,365,365,125000000,0,triangular,821813,1095750
100,2,Failure or blockage of heat exchanger tubing requi,Failure or blockage of heat exchanger tubing requi,tag 100,parent,0,90,0,0,15000,triangular,34928,46570
101,2,Failure of drive systems on gates in closed positi,Failure of drive systems on gates in closed positi,tag 101,parent,0,90,7,0,150000,triangular,102727,136969
102,2,HP Oil pump failure resulting in thrust bearing pa,HP Oil pump failure resulting in thrust bearing pa,tag 102,parent,0,90,4,0,175000,triangular,63691,84921
103,2,Failure of the oil cooling pipework and/or heat ex,Failure of the oil cooling pipework and/or heat ex,tag 103,parent,0,90,4,0,75000,triangular,31229,41639
104,2,Failure of the oil cooling pipework and/or heat ex,Failure of the oil cooling pipework and/or heat ex,tag 104,parent,0,90,4,0,75000,triangular,20957,27942
105,2,Failure of all temperature instruments resulting i,Failure of all temperature instruments resulting i,tag 105,parent,0,90,0,0,75000,triangular,63691,84921
106,2,Failure of internal oil cooler pipework resulting ,Failure of internal oil cooler pipework resulting ,tag 106,parent,0,90,2,0,75000,triangular,20135,26846
107,2,Failure of vapour extraction system allowing oil m,Failure of vapour extraction system allowing oil m,tag 107,parent,0,5,0,0,10000,triangular,38215,50953
108,2,Failure of vapour extraction system allowing oil m,Failure of vapour extraction system allowing oil m,tag 108,parent,0,5,0,0,10000,triangular,14341,19121
109,2,Complete de-lamination of white metal leading to f,Complete de-lamination of white metal leading to f,tag 109,parent,0,90,5,0,95000,triangular,242435,323247
110,2,Failure of the sealing air system causing oil leak,Failure of the sealing air system causing oil leak,tag 110,parent,0,5,0,0,10000,triangular,63691,84921
111,2,Failure of the sealing air system causing oil leak,Failure of the sealing air system causing oil leak,tag 111,parent,0,5,0,0,10000,triangular,63691,84921
112,3,Failure of pumps during dewatering resulting in ex,Failure of pumps during dewatering resulting in ex,tag 112,parent,0,90,0,0,55000,triangular,32873,273938
113,3,Each Generator has its own equipment  pumping func,Each Generator has its own equipment  pumping func,tag 113,parent,0,90,0,0,25000,triangular,21902,35612
114,3,There is no plant SCADA only monitoring SCADA for ,There is no plant SCADA only monitoring SCADA for ,tag 114,parent,0,90,0,200000,0,triangular,30145,32873
115,3,Failure of obsolescent system control equipment eg,Failure of obsolescent system control equipment eg,tag 115,parent,0,365,365,250000,0,triangular,10958,16437
116,3,Unavailability of unit due to obsolescence of equi,Unavailability of unit due to obsolescence of equi,tag 116,parent,0,365,365,20000000,0,triangular,0,2740
117,3,Unavailability of unit due to obsolescence of equi,Unavailability of unit due to obsolescence of equi,tag 117,parent,0,365,365,20000000,0,triangular,0,10958
118,3,Failure of obsolete control card requiring a procu,Failure of obsolete control card requiring a procu,tag 118,parent,0,365,1,5000000,0,triangular,2740,5479
119,3,Failure of obsolete breaker requiring a procuremen,Failure of obsolete breaker requiring a procuremen,tag 119,parent,0,365,5,5000000,0,triangular,5479,16437
120,3,Failure of thyristors and fuses would require to b,Failure of thyristors and fuses would require to b,tag 120,parent,0,5,1,0,7500,triangular,5479,16437
121,3,Failure of relay to adequately protect Generator d,Failure of relay to adequately protect Generator d,tag 121,parent,0,365,365,250000,0,triangular,10369,13697
122,3,Failure of obsolete relay leading to requirement f,Failure of obsolete relay leading to requirement f,tag 122,parent,0,90,5,0,175000,triangular,10369,13697
123,3,Failure of relay to adequately protect Generator d,Failure of relay to adequately protect Generator d,tag 123,parent,0,365,365,250000,0,triangular,10369,13697
124,3,Failure of obsolete relay leading to requirement f,Failure of obsolete relay leading to requirement f,tag 124,parent,0,90,5,0,175000,triangular,10369,13697
125,2,Failure of the core/lamination stacks leading to i,Failure of the core/lamination stacks leading to i,tag 125,parent,0,365,365,3500000,0,triangular,234217,312289
126,3,Uncontrolled application of brake pads during oper,Uncontrolled application of brake pads during oper,tag 126,parent,0,90,5,10000,30000,triangular,166104,219424
127,3,Failure of brakes and jacking limit switches resul,Failure of brakes and jacking limit switches resul,tag 127,parent,0,5,0,0,7500,triangular,52049,54788
128,3,Failure of heat exchanger tubing requiring removal,Failure of heat exchanger tubing requiring removal,tag 128,parent,0,90,5,0,20000,triangular,52049,54788
129,3,Failure of at least 2 fans requiring replacement,Failure of at least 2 fans requiring replacement,tag 129,parent,0,90,2,0,15000,triangular,6164,8219
130,3,Old and obsolete  needs to be replaced. Not all se,Old and obsolete  needs to be replaced. Not all se,tag 130,parent,0,90,0,0,25000,triangular,104141,120533
131,3,Failure of speed sensing device resulting in inabi,Failure of speed sensing device resulting in inabi,tag 131,parent,0,90,0,0,15000,triangular,159733,191757
132,3,Complete de-lamination of white metal leading to f,Complete de-lamination of white metal leading to f,tag 132,parent,0,365,5,0,220000,triangular,123272,164363
133,3,Failure of all temperature instruments resulting i,Failure of all temperature instruments resulting i,tag 133,parent,0,90,0,0,15000,triangular,13700,45212
134,3,Loosening of windings leading to rotor earth fault,Loosening of windings leading to rotor earth fault,tag 134,parent,0,365,25,0,300000,triangular,28490,43830
135,3,Failure of flexible pole connections resulting in ,Failure of flexible pole connections resulting in ,tag 135,parent,0,5,4,0,10000,triangular,28490,43830
136,3,Cracks developing in the rotor pole end plates and,Cracks developing in the rotor pole end plates and,tag 136,parent,0,365,540,0,1500000,triangular,8761,16437
137,3,Failure of rim yoke resulting in pole movement and,Failure of rim yoke resulting in pole movement and,tag 137,parent,0,365,365,80000000,0,triangular,20273,23011
138,3,Failure of rim yoke resulting in unscheduled outag,Failure of rim yoke resulting in unscheduled outag,tag 138,parent,0,365,365,75000000,0,triangular,20273,23011
139,3,Failure of brushgear that could result in a flasho,Failure of brushgear that could result in a flasho,tag 139,parent,0,90,90,0,50000,triangular,52071,98618
140,3,Failure of frame through cracking leading to loss ,Failure of frame through cracking leading to loss ,tag 140,parent,0,365,150,13500000,750000,triangular,273938,273938
141,3,Failure of the core/lamination stacks leading to o,Failure of the core/lamination stacks leading to o,tag 141,parent,0,365,30,0,375000,triangular,11510,14245
142,3,Failure of the core/lamination stacks leading to o,Failure of the core/lamination stacks leading to o,tag 142,parent,0,365,150,13500000,750000,triangular,11510,14245
143,3,Failure of the core/lamination stacks leading to i,Failure of the core/lamination stacks leading to i,tag 143,parent,0,365,365,27500000,0,triangular,11510,14245
144,3,Failure of remaining RTDs that are presently funct,Failure of remaining RTDs that are presently funct,tag 144,parent,0,365,150,13500000,0,triangular,12054,13697
145,3,Failure of windings resulting in a repairable phas,Failure of windings resulting in a repairable phas,tag 145,parent,0,365,150,0,450000,triangular,12054,13697
146,3,Failure of windings resulting in a failure of core,Failure of windings resulting in a failure of core,tag 146,parent,0,365,365,35000000,0,triangular,12054,13697
147,3,Failure of all temperature transmitters leading to,Failure of all temperature transmitters leading to,tag 147,parent,0,5,0,0,1500,triangular,10958,10958
148,3,Failure of remaining RTDs that are presently funct,Failure of remaining RTDs that are presently funct,tag 148,parent,0,365,150,8000000,0,triangular,12054,13697
149,3,Increased vibration due to dislodging of thrust bl,Increased vibration due to dislodging of thrust bl,tag 149,parent,0,365,60,1000000,0,triangular,273938,273938
150,3,Complete de-lamination of white metal leading to f,Complete de-lamination of white metal leading to f,tag 150,parent,0,90,14,0,175000,triangular,39447,54788
151,3,Failure of all temperature instruments resulting i,Failure of all temperature instruments resulting i,tag 151,parent,0,90,0,0,15000,triangular,21368,28490
152,3,Failure of hydraulic system leading to inability t,Failure of hydraulic system leading to inability t,tag 152,parent,0,365,90,0,500000,triangular,273938,273938
153,3,Failure of sliding and link arm bushes resulting i,Failure of sliding and link arm bushes resulting i,tag 153,parent,0,90,21,0,80000,triangular,273938,273938
154,3,Failure of servo motors (seals  valves) leading to,Failure of servo motors (seals  valves) leading to,tag 154,parent,0,90,30,0,200000,triangular,186196,191757
155,3,Failure of bypass penstock side isolating valve in,Failure of bypass penstock side isolating valve in,tag 155,parent,0,90,30,0,45000,triangular,123272,164363
156,3,Failure of bypass penstock side isolating valve in,Failure of bypass penstock side isolating valve in,tag 156,parent,0,90,30,0,30000,triangular,175320,219150
157,3,Failure of hydraulic system leading to inability t,Failure of hydraulic system leading to inability t,tag 157,parent,0,365,45,875000,0,triangular,30818,41091
158,3,Failure of maintenance seal requiring unscheduled ,Failure of maintenance seal requiring unscheduled ,tag 158,parent,0,365,30,0,500000,triangular,47255,63006
159,3,Failure of service seal causing poor seal with una,Failure of service seal causing poor seal with una,tag 159,parent,0,365,30,0,500000,triangular,36982,49309
160,3,Failure of instrumentation resulting in unplanned ,Failure of instrumentation resulting in unplanned ,tag 160,parent,0,5,0,0,5000,triangular,14177,18902
161,3,Failure of servo motors (seals  valves) leading to,Failure of servo motors (seals  valves) leading to,tag 161,parent,0,90,45,0,75000,triangular,14177,18902
162,3,Seizure of trunnions resulting in valve not being ,Seizure of trunnions resulting in valve not being ,tag 162,parent,0,365,45,0,450000,triangular,47255,63006
163,3,Failure of seals leading to excessive leakage and ,Failure of seals leading to excessive leakage and ,tag 163,parent,0,90,0,0,40000,triangular,14177,18902
164,3,Failure of instrumentation resulting in unplanned ,Failure of instrumentation resulting in unplanned ,tag 164,parent,0,90,0,0,15000,triangular,8219,10958
165,3,Failure of rotork vales resulting in inability to ,Failure of rotork vales resulting in inability to ,tag 165,parent,0,90,0,45000,0,triangular,9862,13149
166,3,Failure of fans requiring replacement,Failure of fans requiring replacement,tag 166,parent,0,90,0,0,12000,triangular,6164,8219
167,3,Complete de-lamination of white metal leading to f,Complete de-lamination of white metal leading to f,tag 167,parent,0,90,30,0,95000,triangular,90400,120533
168,3,Failure of instrumentation resulting in unplanned ,Failure of instrumentation resulting in unplanned ,tag 168,parent,0,5,0,0,10000,triangular,15820,21094
169,3,Failure of mechanism or coating requiring speciali,Failure of mechanism or coating requiring speciali,tag 169,parent,0,5,21,0,3500,triangular,18697,24929
170,3,Failure of obsolete relay leading to requirement f,Failure of obsolete relay leading to requirement f,tag 170,parent,0,90,10,150000,0,triangular,10273,13697
171,3,Failure of relay to adequately protect Pony Motor ,Failure of relay to adequately protect Pony Motor ,tag 171,parent,0,365,60,0,3500000,triangular,58760,78347
172,3,Rotor winding insulation failure leading to unsche,Rotor winding insulation failure leading to unsche,tag 172,parent,0,365,30,1000000,0,triangular,96563,128751
173,3,Failure of brushgear that could result in a flasho,Failure of brushgear that could result in a flasho,tag 173,parent,0,365,14,0,2500000,triangular,96563,128751
174,3,Failure of frame through cracking leading to loss ,Failure of frame through cracking leading to loss ,tag 174,parent,0,90,7,0,130000,triangular,234217,312289
175,3,Failure of the core/lamination stacks leading to o,Failure of the core/lamination stacks leading to o,tag 175,parent,0,90,90,0,75000,triangular,234217,312289
176,3,Failure of the core/lamination stacks leading to o,Failure of the core/lamination stacks leading to o,tag 176,parent,0,365,120,2000000,0,triangular,234217,312289
177,3,Failure of the core/lamination stacks leading to i,Failure of the core/lamination stacks leading to i,tag 177,parent,0,365,365,3500000,0,triangular,234217,312289
178,3,Failure of windings resulting in a repairable phas,Failure of windings resulting in a repairable phas,tag 178,parent,0,90,21,0,125000,triangular,234217,312289
179,3,Failure of windings resulting in a failure of core,Failure of windings resulting in a failure of core,tag 179,parent,0,365,120,3500000,0,triangular,234217,312289
180,3,Failure of all temperature sensors leading to incr,Failure of all temperature sensors leading to incr,tag 180,parent,0,90,0,0,15000,triangular,6164,8219
181,3,Failure of remaining RTDs that are presently funct,Failure of remaining RTDs that are presently funct,tag 181,parent,0,365,0,3500000,0,triangular,23011,30681
182,3,Failure of Compressor resulting in increased start,Failure of Compressor resulting in increased start,tag 182,parent,0,365,0,0,550000,triangular,147927,197235
183,3,The stabilising air is not critical to the working,The stabilising air is not critical to the working,tag 183,parent,0,90,0,50000,0,triangular,8219,10958
184,3,Failure of Compressor resulting in increased start,Failure of Compressor resulting in increased start,tag 184,parent,0,5,0,0,7500,triangular,63691,84921
185,3,The stabilising air is not critical to the working,The stabilising air is not critical to the working,tag 185,parent,0,5,0,0,7500,triangular,8219,10958
186,3,Failure of any cables/terminations could result in,Failure of any cables/terminations could result in,tag 186,parent,0,90,0,0,130000,triangular,39858,53144
187,3,Failure of switchgear resulting in unavailability ,Failure of switchgear resulting in unavailability ,tag 187,parent,0,365,0,0,225000,triangular,18491,24655
188,3,Failure of fused isolator can result in auxiliary ,Failure of fused isolator can result in auxiliary ,tag 188,parent,0,5,0,0,3000,triangular,39858,53144
189,3,Failure of protection relays could result in suppl,Failure of protection relays could result in suppl,tag 189,parent,0,90,0,0,75000,triangular,11095,14793
190,3,Failure of switchgear resulting in system failure ,Failure of switchgear resulting in system failure ,tag 190,parent,0,90,30,0,75000,triangular,11095,14793
191,3,Failure of breakers could result in supply & redun,Failure of breakers could result in supply & redun,tag 191,parent,0,365,0,3650000,0,triangular,11095,14793
192,3,Failure of protection relays could result in suppl,Failure of protection relays could result in suppl,tag 192,parent,0,365,0,400000,0,triangular,11095,14793
193,3,Failure of switchgear resulting in unavailability ,Failure of switchgear resulting in unavailability ,tag 193,parent,0,90,210,0,75000,triangular,18491,24655
194,3,Failure of obsolete relay leading to requirement f,Failure of obsolete relay leading to requirement f,tag 194,parent,0,90,210,175000,0,triangular,11095,14793
195,3,Failure of obsolete relays incorporated in the con,Failure of obsolete relays incorporated in the con,tag 195,parent,0,365,30,750000,0,triangular,11095,14793
196,3,Failure of transformer requiring replacement,Failure of transformer requiring replacement,tag 196,parent,0,365,365,15000000,0,triangular,82182,109575
197,3,Failure of relay to adequately protect transformer,Failure of relay to adequately protect transformer,tag 197,parent,0,365,365,15000000,0,triangular,58760,78347
198,3,Failure of obsolete relay leading to requirement f,Failure of obsolete relay leading to requirement f,tag 198,parent,0,90,5,0,125000,triangular,58760,78347
199,3,Failure of transformer requiring replacement,Failure of transformer requiring replacement,tag 199,parent,0,90,14,150000,0,triangular,63691,84921
200,3,Failure of cooling water piping leading to bearing,Failure of cooling water piping leading to bearing,tag 200,parent,0,90,5,0,75000,triangular,63691,84921
201,3,Cracking of welds or draft tube sections requiring,Cracking of welds or draft tube sections requiring,tag 201,parent,0,90,0,0,150000,triangular,63691,84921
202,3,Pick up of guide vanes leading to top and/or botto,Pick up of guide vanes leading to top and/or botto,tag 202,parent,0,365,14,0,450000,triangular,63691,84921
